"셀id(ID)","x좌표(X_COORD)","y좌표(Y_COORD)","성별(AS_GNDR_CD)","연령대(AGE_GR_SCTN_CD)","주중보행인구수(WKDY_FLPOP_CNT)","주말보행인구수(WKND_FLPOP_CNT)","거주지코드(INFLOW_ADMIN_CD)","행정동코드(ADMI_CD)","기준년월(STD_YM)"
"4*8*6*4*",189783.044139924,543965.448821945,"2","3034",0.3916,0,"11215750","11500604","201705"
"4*6*7*6*",190447.840970589,543703.269992797,"2","4549",0.0589,0.0422,"41463","11350619","201612"
"4*4*3*6*",189688.886797455,545120.659360828,"1","6569",0.0758,0.331,"11545690","11590630","201612"
"4*6*0*8*",189172.484303442,543919.166009715,"2","2529",0.0925,0.0396,"41115","11440710","201703"
"4*6*6*1*",189070.3704929,542579.88240516,"2","7074",0.051,0.1108,"41390","11620575","201607"
"4*7*9*5*",190846.748188237,543870.230968657,"2","2024",0.159,0.0932,"11470611","11545640","201610"
"4*5*5*8*",190140.440925737,543563.890708924,"1","3034",0.0781,0,"11200670","11440655","201605"
"4*7*3*2*",190578.204793951,543111.806671904,"2","2529",0,0.0274,"11560710","11530550","201708"
"4*6*9*6*",189525.107748942,542924.020886698,"2","4549",0.0609,0,"11470540","11230560","201702"
"4*8*3*9*",190121.344626256,543370.271826244,"1","4549",0.6517,0.1041,"28710","11680510","201604"
"4*8*6*4*",189181.502671843,544324.968513867,"2","3034",0,1.004,"41150","11320512","201801"
"4*6*1*1*",188867.203875197,545220.120617742,"1","6064",0.0739,0.0539,"11350570","11590640","201612"
"4*6*0*8*",190317.614340861,543920.226882508,"2","5559",0,0.0293,"11500641","11110530","201801"
"4*8*1*0*",189786.757019955,544754.772095083,"2","2529",0.3528,0,"41271","11560550","201611"
"4*7*9*6*",190416.545035712,542632.529900636,"2","5559",0,0,"11305535","11320513","201712"
"4*7*3*9*",189888.870316121,542426.712718528,"2","5559",0.8923,0,"41190","11110570","201612"
"4*7*1*1*",190586.161390832,543422.919651781,"1","3539",0.0056,0.1496,"11500530","11305630","201606"
