"A 동별(1)","13999001 항목",Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4
"A 동별(1)","13999001 항목",001 합계,002 0~4세,003 5~9세,004 10~14세,005 15~19세,006 20~24세,007 25~29세,008 30~34세,009 35~39세,010 40~44세,011 45~49세,012 50~54세,013 55~59세,014 60~64세,015 65~69세,016 70~74세,017 75~79세,018 80~84세,019 85~89세,020 90~94세,021 95~99세,022 100세 이상,001 합계,002 0~4세,003 5~9세,004 10~14세,005 15~19세,006 20~24세,007 25~29세,008 30~34세,009 35~39세,010 40~44세,011 45~49세,012 50~54세,013 55~59세,014 60~64세,015 65~69세,016 70~74세,017 75~79세,018 80~84세,019 85~89세,020 90~94세,021 95~99세,022 100세 이상
"016 양천구","T002 한국인",425088,8257,14332,22864,23424,20568,26230,27539,24199,32829,36551,37412,34608,31924,30510,22329,15250,9174,4826,1809,389,64,423666,8232,14300,22836,23095,19951,25824,27445,24223,32583,36518,36891,34601,31449,30897,22908,15456,9215,4934,1843,399,66
"016 양천구","T003 등록외국인",3449,50,70,58,90,201,374,369,411,360,308,312,362,254,121,63,28,7,4,4,1,2,3397,40,66,57,81,166,345,375,394,402,287,299,339,290,127,73,37,7,5,3,2,2
"017 강서구","T001 계",556370,12153,14824,19724,20667,25646,47312,55146,42899,42307,40679,42457,39728,39508,40117,29399,20795,12744,6915,2633,625,92,555696,12167,14395,19484,20637,25190,46755,55032,43128,41857,40796,42188,39913,38850,40644,30247,21040,12782,7120,2736,637,98
"017 강서구","T002 한국인",549711,12023,14663,19615,20498,25111,46423,54261,42001,41621,40162,41991,39237,39139,39911,29313,20757,12729,6910,2630,624,92,548985,12053,14238,19369,20525,24663,45885,54126,42236,41094,40273,41737,39423,38441,40441,30139,20996,12765,7115,2732,636,98
"017 강서구","T003 등록외국인",6659,130,161,109,169,535,889,885,898,686,517,466,491,369,206,86,38,15,5,3,1,-,6711,114,157,115,112,527,870,906,892,763,523,451,490,409,203,108,44,17,5,4,1,-
"018 구로구","T001 계",408238,9796,10993,13533,14575,18089,29850,34728,30513,30062,29645,33017,33716,31599,30363,22709,16696,10736,5414,1765,394,45,406761,9615,10605,13398,14558,17749,29723,34602,30316,29583,29500,32306,33600,31667,30679,23374,16861,10823,5492,1847,415,48
"018 구로구","T002 한국인",383829,9345,10249,13009,14015,17154,28755,33365,28086,27558,27307,30080,29868,29089,28974,22163,16557,10696,5381,1750,387,41,382836,9288,9908,12812,14058,16852,28643,33333,28120,27045,27236,29751,29973,28680,29261,22674,16690,10770,5466,1826,406,44
"018 구로구","T003 등록외국인",24409,451,744,524,560,935,1095,1363,2427,2504,2338,2937,3848,2510,1389,546,139,40,33,15,7,4,23925,327,697,586,500,897,1080,1269,2196,2538,2264,2555,3627,2987,1418,700,171,53,26,21,9,4
"019 금천구","T001 계",237562,4192,4820,5947,6667,10221,22874,24900,17285,15451,14845,18191,20821,20690,18418,12634,9176,6131,3038,1029,201,31,236657,4097,4650,5860,6679,9977,22559,24975,17205,15306,14738,17666,20557,20776,18706,13074,9260,6131,3130,1066,217,28
"019 금천구","T002 한국인",223290,3928,4393,5650,6394,9691,22024,23914,15804,14063,13564,16429,18618,19257,17734,12357,9093,6110,3023,1018,199,27,222712,3894,4251,5542,6407,9466,21752,24014,15860,13870,13521,16134,18503,19105,18001,12726,9154,6106,3114,1056,212,24
"019 금천구","T003 등록외국인",14272,264,427,297,273,530,850,986,1481,1388,1281,1762,2203,1433,684,277,83,21,15,11,2,4,13945,203,399,318,272,511,807,961,1345,1436,1217,1532,2054,1671,705,348,106,25,16,10,5,4
"020 영등포구","T001 계",395248,10236,10564,11526,11773,17861,37494,43955,34072,29780,26801,29618,30475,27622,25239,17937,13524,9264,5205,1865,372,65,394382,10251,10141,11509,11767,17534,37339,43892,34081,29526,26710,29001,30321,27792,25510,18436,13638,9265,5280,1943,381,65
"020 영등포구","T002 한국인",371362,9854,9879,11039,11280,16678,36070,42454,31711,27551,24616,26896,26912,25108,23858,17413,13388,9225,5165,1849,357,59,371177,9952,9513,10974,11351,16421,35906,42484,31928,27285,24600,26640,27055,24900,24133,17781,13451,9215,5245,1919,369,55
"020 영등포구","T003 등록외국인",23886,382,685,487,493,1183,1424,1501,2361,2229,2185,2722,3563,2514,1381,524,136,39,40,16,15,6,23205,299,628,535,416,1113,1433,1408,2153,2241,2110,2361,3266,2892,1377,655,187,50,35,24,12,10
"021 동작구","T001 계",384281,8095,9430,11845,14148,26791,38850,36257,27065,26402,25905,29025,28525,25904,25025,18565,14601,10083,5421,1833,453,58,384624,8140,9154,11707,14243,27052,38626,36312,27412,26022,25747,28807,28740,25668,25215,18937,14697,10151,5561,1923,452,58
"021 동작구","T002 한국인",371924,7994,9343,11752,13088,23233,36642,35223,26285,25764,25388,28449,27816,25406,24712,18445,14575,10068,5409,1827,450,55,372236,8050,9073,11619,13564,23232,36261,35210,26657,25361,25245,28335,28071,25101,24903,18794,14656,10134,5552,1914,449,55
"021 동작구","T003 등록외국인",12357,101,87,93,1060,3558,2208,1034,780,638,517,576,709,498,313,120,26,15,12,6,3,3,12388,90,81,88,679,3820,2365,1102,755,661,502,472,669,567,312,143,41,17,9,9,3,3
"022 관악구","T001 계",497391,6705,7662,10586,14177,36284,73507,61787,35861,30190,29570,33586,33220,31317,30231,23150,18323,12737,6201,1850,402,45,498136,6657,7322,10378,14350,36813,73527,61987,36186,29847,29494,32946,33385,31077,30438,23652,18523,12749,6363,1965,431,46
"022 관악구","T002 한국인",477605,6509,7428,10412,13117,32040,69351,59557,34463,29137,28710,32577,31888,30338,29697,22939,18262,12716,6186,1838,396,44,478468,6500,7104,10176,13805,32472,69167,59560,34773,28753,28675,32074,32181,29989,29899,23402,18446,12722,6350,1951,425,44
