업종명,업소명,소재지(도로명),소재지(지번),업태명,
휴게음식점,러반로제 재화스퀘어점,서울특별시 마포구 독막로 311  재화스퀘어 지하1층 B105호 (염리동),서울특별시 마포구 염리동 168-9 재화스퀘어 ,커피숍,
휴게음식점,레드레드(Rad Red),서울특별시 마포구 임정로21길 40 (신공덕동  1층일부),서울특별시 마포구 신공덕동 2-330 1층일부 ,커피숍,
휴게음식점,레드빅,서울특별시 마포구 잔다리로6길 5  1층 (서교동),서울특별시 마포구 서교동 372-9 ,커피숍,
휴게음식점,레스팅커피,서울특별시 마포구 대흥로30길 34  1층 (염리동),서울특별시 마포구 염리동 9-72 유성지압시술원 ,커피숍,
휴게음식점,레아스톡샵(Leah's talk#),서울특별시 마포구 월드컵북로 233  1층 126-1 4호 (성산동  성산시영아파트),서울특별시 마포구 성산동 446 성산시영아파트 ,커피숍,
휴게음식점,레이먼드(RAYMOND Coffee market),서울특별시 마포구 월드컵로14길 50-3  1층 (서교동),서울특별시 마포구 서교동 474-26 ,커피숍,
휴게음식점,레이지독 케이크(Lazy Dog Cake),서울특별시 마포구 포은로8길 28-6  3층 (망원동),서울특별시 마포구 망원동 414-25 ,커피숍,
휴게음식점,레인비,서울특별시 마포구 와우산로27길 70 (서교동  1층),서울특별시 마포구 서교동 347-18 ,커피숍,
휴게음식점,로로CAFE,서울특별시 마포구 월드컵북로 356 (상암동  서서울농협DMC첨단주차전용건축1층일부),서울특별시 마포구 상암동 1613 서서울농협DMC첨단주차전용건축1층일부 ,커피숍,
휴게음식점,로벤,서울특별시 마포구 잔다리로2길 7 (서교동  디쎄JT타워1층일부),서울특별시 마포구 서교동 368-11 ,커피숍,
휴게음식점,로비,서울특별시 마포구 성암로9안길 28  지상1층 102호 (중동),서울특별시 마포구 중동 77-35 ,커피숍,
휴게음식점,로우엄버,서울특별시 마포구 망원로8길 63  1층 101호 (망원동),서울특별시 마포구 망원동 401-2 ,커피숍,
휴게음식점,로우즈(LOWEEZ),서울특별시 마포구 동교로19길 70  1층 101호 (서교동),서울특별시 마포구 서교동 247-22 ,커피숍,
휴게음식점,로제,서울특별시 마포구 와우산로29길 40-18  2층 (서교동),서울특별시 마포구 서교동 328-39 ,커피숍,
