"년월(STD_YM)","년월일(STD_YMD)","블록코드(BLOCK_CD)","X좌표(X_COORD)","Y좌표(Y_COORD)","유입지코드(INFLOW_CD)","시간대0시~1시미만(AVG_00TMST)","시간대1시~2시미만(AVG_01TMST)","시간대2시~3시미만(AVG_02TMST)","시간대3시~4시미만(AVG_03TMST)","시간대4시~5시미만(AVG_04TMST)","시간대5시~6시미만(AVG_05TMST)","시간대6시~7시미만(AVG_06TMST)","시간대7시~8시미만(AVG_07TMST)","시간대8시~9시미만(AVG_08TMST)","시간대9시~10시미만(AVG_09TMST)","시간대10시~11시미만(AVG_10TMST)","시간대11시~12시미만(AVG_11TMST)","시간대12시~13시미만(AVG_12TMST)","시간대13시~14시미만(AVG_13TMST)","시간대14시~15시미만(AVG_14TMST)","시간대15시~16시미만(AVG_15TMST)","시간대16시~17시미만(AVG_16TMST)","시간대17시~18시미만(AVG_17TMST)","시간대18시~19시미만(AVG_18TMST)","시간대19시~20시미만(AVG_19TMST)","시간대20시~21시미만(AVG_20TMST)","시간대21시~22시미만(AVG_21TMST)","시간대22시~23시미만(AVG_22TMST)","시간대23시~0시미만(AVG_23TMST)"
"201607","20160706","1*0*0*8*1*0*4*0*0*0*",960164.125,1955088,"11305",0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0.06,0,0.04,0,0.02,0,0.04,0.01,0.02,0
"201602","20160214","1*0*0*7*3*0*8*0*0*0*",956325.3125,1956873,"11260",0,0,0,0,0,1.17,0,0,0,0.01,0,0.61,0,0.02,0,0,0,0,0,0,0,0.02,0,0
"201603","20160302","1*0*0*3*1*0*4*0*0*0*",956910.625,1954783,"46810",0,0,0.01,0.01,0,0,0.01,0,0,0.01,0.02,0.02,0,0,0,0.21,0,0.14,0.03,0.01,0.01,0.18,0,0
"201512","20151231","1*0*0*1*3*0*1*0*0*0*",960164.125,1958105,"28110",0.01,0.01,0.01,0,0,0,0,0,0,0,0.01,0.01,0,0.1,0.01,0,0,0.23,0,0.01,0,0,0.01,0
"201509","20150928","1*0*0*4*1*0*7*0*0*0*",956960.375,1955096,"26470",0,0,0,0,0,0,0,0,0.06,0,0,0.01,0.01,0,0.01,0.01,0.01,0,0.03,0.02,0,0,0,0.07
"201605","20160517","1*0*0*2*3*0*5*0*0*0*",960209.5,1957281,"41463",0,0,0,0,0,0.02,0,0.01,0,0,0.01,0,0.01,0.01,0.01,0,0.06,0.01,0,0,0.04,0,0.24,0
"201603","20160304","1*0*0*2*4*0*1*0*0*1*",955250.6875,1954947,"42770",0,0,0,0,0,0,0,0,0.01,0,0.02,0,0.06,0,0,7.11,0,0,0,0.01,0,0.01,0,0.06
"201508","20150808","1*0*0*7*3*0*2*0*0*0*",959673.625,1955905,"48250",0,0.02,0.01,0,0,0.01,0,0,0,0.01,0.01,0,0,0,0,0.03,0.01,0.01,0.02,0.01,0.16,0,0,0
"201509","20150917","1*0*0*2*1*0*1*0*0*0*",957010.875,1954218,"44210",1.31,0,0,0,0,0,0,0,0.02,0,0.01,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0
"201511","20151107","1*0*0*1*2*0*5*0*0*0*",960602.375,1958361,"11140",0,0,0,0,0,0,0,0.04,0,0,0,0.02,0,0,0.08,0,1.28,0.02,0.08,0.04,0.01,0.07,0,0
